t_s,count,theta_rad,x_m
0.0000,-24,-0.062832,-0.000785
0.0020,-24,-0.062832,-0.000785
0.0050,-25,-0.065450,-0.000818
0.0080,-25,-0.065450,-0.000818
0.0110,-25,-0.065450,-0.000818
0.0130,-25,-0.065450,-0.000818
0.0150,-26,-0.068068,-0.000851
0.0180,-26,-0.068068,-0.000851
0.0200,-26,-0.068068,-0.000851
0.0230,-26,-0.068068,-0.000851
0.0250,-26,-0.068068,-0.000851
0.0280,-26,-0.068068,-0.000851
0.0300,-27,-0.070686,-0.000884
0.0330,-27,-0.070686,-0.000884
0.0350,-27,-0.070686,-0.000884
0.0380,-27,-0.070686,-0.000884
0.0410,-27,-0.070686,-0.000884
0.0430,-28,-0.073304,-0.000916
0.0460,-28,-0.073304,-0.000916
0.0490,-28,-0.073304,-0.000916
0.0520,-28,-0.073304,-0.000916
0.0550,-28,-0.073304,-0.000916
0.0570,-29,-0.075922,-0.000949
0.0600,-29,-0.075922,-0.000949
0.0630,-29,-0.075922,-0.000949
0.0650,-29,-0.075922,-0.000949
0.0680,-30,-0.078540,-0.000982
0.0710,-30,-0.078540,-0.000982
0.0730,-30,-0.078540,-0.000982
0.0760,-30,-0.078540,-0.000982
0.0790,-30,-0.078540,-0.000982
0.0810,-31,-0.081158,-0.001014
0.0840,-31,-0.081158,-0.001014
0.0870,-31,-0.081158,-0.001014
0.0890,-32,-0.083776,-0.001047
0.0930,-32,-0.083776,-0.001047
0.0960,-32,-0.083776,-0.001047
0.0980,-32,-0.083776,-0.001047
0.1010,-33,-0.086394,-0.001080
0.1040,-33,-0.086394,-0.001080
0.1060,-33,-0.086394,-0.001080
0.1090,-34,-0.089012,-0.001113
0.1120,-34,-0.089012,-0.001113
0.1140,-34,-0.089012,-0.001113
0.1170,-34,-0.089012,-0.001113
0.1200,-35,-0.091630,-0.001145
0.1220,-35,-0.091630,-0.001145
0.1250,-35,-0.091630,-0.001145
0.1280,-36,-0.094248,-0.001178
0.1300,-36,-0.094248,-0.001178
0.1330,-36,-0.094248,-0.001178
0.1360,-36,-0.094248,-0.001178
0.1390,-37,-0.096866,-0.001211
0.1420,-37,-0.096866,-0.001211
0.1440,-37,-0.096866,-0.001211
0.1470,-38,-0.099484,-0.001244
0.1500,-38,-0.099484,-0.001244
0.1520,-38,-0.099484,-0.001244
0.1550,-38,-0.099484,-0.001244
0.1580,-38,-0.099484,-0.001244
0.1600,-38,-0.099484,-0.001244
0.1630,-38,-0.099484,-0.001244
0.1660,-39,-0.102102,-0.001276
0.1680,-39,-0.102102,-0.001276
0.1710,-39,-0.102102,-0.001276
0.1740,-39,-0.102102,-0.001276
0.1770,-39,-0.102102,-0.001276
0.1800,-39,-0.102102,-0.001276
0.1830,-39,-0.102102,-0.001276
0.1850,-39,-0.102102,-0.001276
0.1880,-39,-0.102102,-0.001276
0.1910,-39,-0.102102,-0.001276
0.1930,-39,-0.102102,-0.001276
0.1960,-39,-0.102102,-0.001276
0.1990,-39,-0.102102,-0.001276
0.2010,-39,-0.102102,-0.001276
0.2040,-39,-0.102102,-0.001276
0.2070,-39,-0.102102,-0.001276
0.2090,-39,-0.102102,-0.001276
0.2120,-39,-0.102102,-0.001276
0.2150,-39,-0.102102,-0.001276
0.2170,-39,-0.102102,-0.001276
0.2210,-40,-0.104720,-0.001309
0.2230,-40,-0.104720,-0.001309
0.2260,-40,-0.104720,-0.001309
0.2290,-40,-0.104720,-0.001309
0.2310,-40,-0.104720,-0.001309
0.2340,-40,-0.104720,-0.001309
0.2370,-40,-0.104720,-0.001309
0.2390,-40,-0.104720,-0.001309
0.2420,-41,-0.107338,-0.001342
0.2450,-41,-0.107338,-0.001342
0.2470,-41,-0.107338,-0.001342
0.2500,-41,-0.107338,-0.001342
0.2530,-41,-0.107338,-0.001342
0.2550,-41,-0.107338,-0.001342
0.2580,-42,-0.109956,-0.001374
0.2610,-42,-0.109956,-0.001374
0.2640,-42,-0.109956,-0.001374
0.2670,-42,-0.109956,-0.001374
0.2700,-42,-0.109956,-0.001374
0.2720,-42,-0.109956,-0.001374
0.2750,-43,-0.112574,-0.001407
0.2780,-43,-0.112574,-0.001407
0.2800,-43,-0.112574,-0.001407
0.2830,-43,-0.112574,-0.001407
0.2860,-44,-0.115192,-0.001440
0.2880,-44,-0.115192,-0.001440
0.2910,-44,-0.115192,-0.001440
0.2940,-44,-0.115192,-0.001440
0.2960,-44,-0.115192,-0.001440
0.2990,-44,-0.115192,-0.001440
0.3020,-44,-0.115192,-0.001440
0.3050,-44,-0.115192,-0.001440
0.3080,-44,-0.115192,-0.001440
0.3100,-44,-0.115192,-0.001440
0.3130,-44,-0.115192,-0.001440
0.3160,-45,-0.117810,-0.001473
0.3180,-45,-0.117810,-0.001473
0.3210,-45,-0.117810,-0.001473
0.3240,-45,-0.117810,-0.001473
0.3260,-45,-0.117810,-0.001473
0.3290,-45,-0.117810,-0.001473
0.3320,-45,-0.117810,-0.001473
0.3340,-45,-0.117810,-0.001473
0.3370,-45,-0.117810,-0.001473
0.3400,-45,-0.117810,-0.001473
0.3420,-45,-0.117810,-0.001473
0.3450,-45,-0.117810,-0.001473
0.3490,-45,-0.117810,-0.001473
0.3510,-45,-0.117810,-0.001473
0.3540,-45,-0.117810,-0.001473
0.3570,-45,-0.117810,-0.001473
0.3590,-46,-0.120428,-0.001505
0.3620,-46,-0.120428,-0.001505
0.3650,-46,-0.120428,-0.001505
0.3670,-47,-0.123046,-0.001538
0.3700,-47,-0.123046,-0.001538
0.3730,-47,-0.123046,-0.001538
0.3750,-47,-0.123046,-0.001538
0.3780,-48,-0.125664,-0.001571
0.3810,-48,-0.125664,-0.001571
0.3830,-48,-0.125664,-0.001571
0.3860,-48,-0.125664,-0.001571
0.3890,-49,-0.128282,-0.001604
0.3920,-49,-0.128282,-0.001604
0.3950,-49,-0.128282,-0.001604
0.3970,-50,-0.130900,-0.001636
0.4000,-50,-0.130900,-0.001636
0.4030,-50,-0.130900,-0.001636
0.4050,-50,-0.130900,-0.001636
0.4080,-50,-0.130900,-0.001636
0.4110,-51,-0.133518,-0.001669
0.4130,-51,-0.133518,-0.001669
0.4160,-51,-0.133518,-0.001669
0.4190,-51,-0.133518,-0.001669
0.4210,-52,-0.136136,-0.001702
0.4240,-52,-0.136136,-0.001702
0.4270,-52,-0.136136,-0.001702
0.4290,-52,-0.136136,-0.001702
0.4330,-53,-0.138754,-0.001734
0.4360,-53,-0.138754,-0.001734
0.4380,-53,-0.138754,-0.001734
0.4410,-53,-0.138754,-0.001734
0.4440,-53,-0.138754,-0.001734
0.4460,-53,-0.138754,-0.001734
0.4490,-53,-0.138754,-0.001734
0.4520,-53,-0.138754,-0.001734
